,lngCouncil,calCouncil,Address,City,State,Zip,Zip5,lat_lon
26,11676,St. Paul Council 11676,1243 Hulsey Road, Cleveland,GA,30528,30528,"(34.5839, -83.75)"
27,1019,Bishop Gross Council 1019,3502 Kay Circle, Columbus,GA,31907,31907,"(32.4779, -84.898)"
28,10004,Fr. Charles J. Kerscher Council 10004,2621 Highway 20 SE, Conyers,GA,30013-2424,30013,"(33.6436, -83.9684)"
29,11340,Virgin Mary Council 11340,11524 Highway 278 East, Covington,GA,30014,30014,"(33.5293, -83.8496)"
30,12942,St. Brendan Council 12942,4633 Shiloh Road, Cumming,GA,30040,30040,"(34.2321, -84.15799999999999)"
31,13161,Good Shepherd Council 13161,3740 Holtzclaw Road, Cumming,GA,30041-3502,30041,"(34.2037, -84.1031)"
32,12287,Fr. Vincent Mulvin Council 12287,680 West Memorial Drive, Dallas,GA,30132-4123,30132,"(33.9163, -84.8278)"
33,7662,St. Joseph Council 7662,968 Haig Mill Lake Road, Dalton,GA,30720,30720,"(34.7635, -84.9875)"
34,15238,Blessed Mother Mary Council 15238,991 Kilough Church Road, Dawsonville,GA,30534-8941,30534,"(34.4537, -84.155)"
35,4358,Fr. Thomas O'Reilly Council 4358,636 West Ponce de Leon Avenue, Decatur,GA,30030,30030,"(33.7699, -84.295)"
36,15716,St. Paul Council 15716,4178 Highway 441 South, Douglas,GA,31535-5732,31535,"(31.4551, -82.8561)"
37,10821,St. John Paul II Council 10821,4401 Prestley Mill Road, Douglasville,GA,30154,30154,"(33.7515, -84.7477)"
38,11637,Immaculate Conception Council 11637,American Legion Hall 2503 Moore Station Road, Dublin,GA,31021,31021,"(32.4593, -82.9381)"
39,12883,St. Monica Council 12883,1700 Buford Highway, Duluth,GA,30097-2814,30097,"(34.026, -84.147)"
40,11402,All Saints Council 11402,2443 Mount Vernon Road, Dunwoody,GA,30338,30338,"(33.9669, -84.3249)"
